prev,es,causal_prop,exome_power,hrc_topmed_exome_power,hrc_topmed_power,hrc_power,topmed_power
0.1,1.2,0.5,0.0543240711832657,0.084920387137059,0.065251326881049,0.0499531689041524,0.0627536684358414
0.1,1.2,0.75,0.137995629097721,0.178894786137996,0.136434592569466,0.0952232282235404,0.129566031845145
0.1,1.2,1,0.250078051826413,0.313456134873556,0.22635029659694,0.166406493911958,0.220106150483921
0.1,1.5,0.5,0.349672182329067,0.380892912894162,0.293474867311895,0.224789260068686,0.288791757727131
0.1,1.5,0.75,0.553855760224789,0.597564783015923,0.465813300031221,0.355604121136435,0.453949422416485
0.1,1.5,1,0.715891351857633,0.76053699656572,0.618482672494536,0.461442397752107,0.605369965657196
0.1,1.8,0.5,0.504527005931939,0.528254761161411,0.414611301904465,0.31158289103965,0.403684046206681
0.1,1.8,0.75,0.703090852325945,0.741180143615361,0.586325320012488,0.441461130190447,0.575710271620356
0.1,1.8,1,0.810490165469872,0.847955042147986,0.707461754605058,0.519512956603185,0.693724633156416
0.2,1.2,0.5,0.0580705588510771,0.0908523259444271,0.0674367780206057,0.05245082734936,0.0621292538245395
0.2,1.2,0.75,0.148298470184202,0.195753980643147,0.144551982516391,0.103965032781767,0.139556665625976
0.2,1.2,1,0.266000624414611,0.325632219793943,0.241960661879488,0.175460505775835,0.230096784264752
0.2,1.5,0.5,0.350608804246019,0.382766156728068,0.292226038089291,0.221979394317827,0.283796440836716
0.2,1.5,0.75,0.561973150171714,0.607555416796753,0.469559787699032,0.353730877302529,0.456447080861692
0.2,1.5,1,0.720886668748049,0.771152044957852,0.626600062441461,0.470184202310334,0.615048392132376
0.2,1.8,0.5,0.50483921323759,0.529815797689666,0.417733374960974,0.310646269122698,0.410864814236653
0.2,1.8,0.75,0.706837339993756,0.738682485170153,0.594130502653762,0.437090227911333,0.581642210427724
0.2,1.8,1,0.804870433968155,0.844520761785826,0.704339681548548,0.515766468935373,0.687792694349048
